1 - 600 x 400,1 - 6000 x 4000,1 - 60000 x 40000,1 - 600000 x 400000,2 - 600 x 400,2 - 6000 x 4000,2 - 60000 x 40000,2 - 600000 x 400000,4 - 600 x 400,4 - 6000 x 4000,4 - 60000 x 40000,4 - 600000 x 400000,8 - 600 x 400,8 - 6000 x 4000,8 - 60000 x 40000,8 - 600000 x 400000,16 - 600 x 400,16 - 6000 x 4000,16 - 60000 x 40000,16 - 600000 x 400000,32 - 600 x 400,32 - 6000 x 4000,32 - 60000 x 40000,32 - 600000 x 400000,64 - 600 x 400,64 - 6000 x 4000,64 - 60000 x 40000,64 - 600000 x 400000,128 - 600 x 400,128 - 6000 x 4000,128 - 60000 x 40000,128 - 600000 x 400000,256 - 600 x 400,256 - 6000 x 4000,256 - 60000 x 40000,256 - 600000 x 400000,512 - 600 x 400,512 - 6000 x 4000,512 - 60000 x 40000,512 - 600000 x 400000,1024 - 600 x 400,1024 - 6000 x 4000,1024 - 60000 x 40000,1024 - 600000 x 400000,2048 - 600 x 400,2048 - 6000 x 4000,2048 - 60000 x 40000,2048 - 600000 x 400000,
0.5103s,50.9058s,0.0000s,0.0000s,0.2575s,25.5513s,0.0001s,0.0001s,0.2400s,23.6099s,0.0001s,0.0001s,0.2353s,21.9744s,0.0003s,0.0003s,0.2290s,21.5589s,0.0005s,0.0005s,0.2212s,21.6490s,0.0010s,0.0009s,0.2201s,21.5530s,0.0020s,0.0019s,0.2197s,21.5355s,0.0041s,0.0041s,0.2241s,21.6260s,0.0083s,0.0076s,0.2328s,21.6378s,0.0160s,0.0156s,0.2429s,21.6198s,0.0323s,0.0310s,0.2758s,21.6471s,0.0608s,0.0631s,
0.5107s,51.0001s,0.0000s,0.0000s,0.2568s,25.4841s,0.0001s,0.0001s,0.2420s,23.6575s,0.0019s,0.0019s,0.2385s,22.2085s,0.0003s,0.0003s,0.2242s,21.7862s,0.0006s,0.0005s,0.2212s,21.5785s,0.0010s,0.0010s,0.2200s,21.5732s,0.0021s,0.0019s,0.2217s,21.5237s,0.0041s,0.0042s,0.2239s,21.5420s,0.0082s,0.0076s,0.2332s,21.5350s,0.0178s,0.0164s,0.2470s,21.5925s,0.0331s,0.0314s,0.2743s,21.6537s,0.0553s,0.0600s,
0.5119s,50.7860s,0.0000s,0.0000s,0.2575s,25.5035s,0.0001s,0.0001s,0.2351s,23.1262s,0.0001s,0.0035s,0.2476s,21.9357s,0.0003s,0.0003s,0.2299s,21.5654s,0.0005s,0.0005s,0.2182s,21.6180s,0.0010s,0.0010s,0.2202s,21.5974s,0.0022s,0.0019s,0.2208s,21.5783s,0.0039s,0.0040s,0.2243s,21.5914s,0.0083s,0.0087s,0.2327s,21.5600s,0.0172s,0.0146s,0.2419s,21.5569s,0.0320s,0.0328s,0.2734s,21.5691s,0.0587s,0.0596s,
0.5061s,51.6810s,0.0000s,0.0000s,0.2760s,25.6259s,0.0001s,0.0001s,0.2409s,23.1672s,0.0001s,0.0001s,0.2396s,22.0423s,0.0003s,0.0003s,0.2195s,21.6090s,0.0005s,0.0005s,0.2176s,21.5390s,0.0009s,0.0011s,0.2187s,21.5170s,0.0018s,0.0018s,0.2202s,21.5190s,0.0038s,0.0043s,0.2243s,21.5847s,0.0080s,0.0087s,0.2293s,21.5924s,0.0172s,0.0164s,0.2461s,21.6050s,0.0324s,0.0312s,0.2745s,21.6353s,0.0590s,0.0585s,
0.5106s,52.2361s,0.0000s,0.0000s,0.2562s,25.5143s,0.0001s,0.0001s,0.2382s,23.5456s,0.0001s,0.0019s,0.2283s,22.0201s,0.0003s,0.0003s,0.2258s,21.6362s,0.0005s,0.0006s,0.2184s,21.6028s,0.0011s,0.0010s,0.2186s,21.5536s,0.0018s,0.0020s,0.2214s,21.5049s,0.0037s,0.0039s,0.2229s,21.5139s,0.0080s,0.0079s,0.2300s,21.5280s,0.0167s,0.0168s,0.2434s,21.5887s,0.0319s,0.0281s,0.2752s,21.6297s,0.0636s,0.0572s,
0.5074s,51.0803s,0.0000s,0.0000s,0.2572s,25.7463s,0.0001s,0.0001s,0.2321s,23.5187s,0.0001s,0.0002s,0.2362s,21.9942s,0.0003s,0.0002s,0.2304s,21.6274s,0.0005s,0.0005s,0.2224s,21.5950s,0.0009s,0.0011s,0.2189s,21.6016s,0.0022s,0.0020s,0.2220s,21.5933s,0.0039s,0.0041s,0.2249s,21.5899s,0.0083s,0.0084s,0.2317s,21.5427s,0.0151s,0.0138s,0.2446s,21.5421s,0.0309s,0.0282s,0.2723s,21.5785s,0.0579s,0.0610s,
0.5044s,50.8530s,0.0000s,0.0000s,0.2573s,25.6237s,0.0001s,0.0001s,0.2437s,23.1819s,0.0021s,0.0019s,0.2312s,22.3809s,0.0003s,0.0003s,0.2218s,21.5867s,0.0005s,0.0005s,0.2214s,21.5167s,0.0010s,0.0009s,0.2182s,21.5155s,0.0019s,0.0018s,0.2198s,21.5480s,0.0041s,0.0042s,0.2242s,21.5813s,0.0087s,0.0085s,0.2318s,21.5941s,0.0170s,0.0174s,0.2404s,21.6085s,0.0331s,0.0326s,0.2766s,21.6236s,0.0543s,0.0606s,
0.5101s,50.9135s,0.0000s,0.0000s,0.2558s,25.4506s,0.0001s,0.0001s,0.2412s,23.5241s,0.0018s,0.0018s,0.2482s,22.0898s,0.0003s,0.0003s,0.2220s,21.6117s,0.0005s,0.0005s,0.2186s,21.5526s,0.0011s,0.0010s,0.2200s,21.5336s,0.0020s,0.0018s,0.2224s,21.5093s,0.0038s,0.0039s,0.2234s,21.5117s,0.0083s,0.0078s,0.2302s,21.5239s,0.0173s,0.0159s,0.2474s,21.5848s,0.0328s,0.0307s,0.2730s,21.6325s,0.0597s,0.0592s,
0.5077s,51.0779s,0.0000s,0.0000s,0.2574s,25.4637s,0.0001s,0.0001s,0.2404s,23.5314s,0.0002s,0.0010s,0.2392s,22.2658s,0.0003s,0.0003s,0.2233s,21.5752s,0.0005s,0.0005s,0.2202s,21.5699s,0.0010s,0.0010s,0.2199s,21.6009s,0.0019s,0.0020s,0.2220s,21.5714s,0.0041s,0.0042s,0.2257s,21.5813s,0.0087s,0.0087s,0.2327s,21.5336s,0.0170s,0.0165s,0.2432s,21.5417s,0.0324s,0.0337s,0.2727s,21.5756s,0.0574s,0.0606s,
0.5057s,50.7663s,0.0000s,0.0000s,0.2574s,25.5067s,0.0001s,0.0001s,0.2433s,23.1450s,0.0018s,0.0001s,0.2489s,22.2323s,0.0003s,0.0003s,0.2295s,21.5177s,0.0005s,0.0004s,0.2214s,21.5245s,0.0009s,0.0010s,0.2186s,21.4952s,0.0018s,0.0018s,0.2210s,21.5325s,0.0039s,0.0040s,0.2248s,21.5816s,0.0085s,0.0087s,0.2311s,21.5901s,0.0172s,0.0167s,0.2466s,21.6010s,0.0329s,0.0328s,0.2744s,21.6167s,0.0600s,0.0605s,
